encounter_id,type,when,description,occurrences
1,UFO,2021-01-15,bright light in the sky,2
2,CREATURE,2020-02-01,short test #2,1
3,SOUND,2020-03-01,short test #3,1
4,VOICE,2021-05-22,heard whispers at night,3
5,CREATURE,2019-11-10,shadowy figure in the woods,1
6,UFO,2022-07-04,fast moving object over city,1
7,CREATURE,2021-09-18,strange tracks near river,2
8,SOUND,2020-12-31,unexplained banging noises,1
9,VOICE,2022-03-05,disembodied voice calling name,2
10,CREATURE,2021-08-30,glowing figure in field,1
